deck1,deck2,deck3,deck4,outcome
224,61,243,287,2
169,185,322,290,0
298,241,267,318,1
147,322,147,224,2
147,326,188,239,1
147,12,273,110,0
290,164,243,287,0
287,303,169,185,3
318,276,303,141,3
326,243,185,147,2
241,273,164,303,0
185,141,147,169,1
303,224,187,276,2
192,243,110,239,0
287,322,241,13,2
185,141,241,147,4
164,292,326,187,3
164,147,287,243,0
147,147,303,290,0
273,187,192,188,3
304,276,243,169,4
241,147,164,292,0
326,141,243,187,1
185,147,241,141,1
210,211,272,241,0
192,147,211,147,1
243,303,215,141,1
243,164,290,276,0
243,318,303,239,1
321,243,147,87,1
243,290,243,243,3
141,276,87,318,3
303,60,321,164,1
303,94,147,243,3
243,276,290,303,0
147,239,243,60,1
94,141,290,321,0
215,303,87,164,0
215,60,243,243,4
164,94,318,243,1
243,239,243,303,0
318,94,60,215,1
337,164,211,141,1
188,188,184,272,0
164,147,78,42,4
164,44,147,267,4
326,272,78,94,1
147,241,185,147,4
267,241,188,164,1
147,78,164,272,0
267,272,147,241,4
272,147,44,147,3
185,164,42,188,1
147,326,188,147,4
44,241,78,188,4
78,147,147,164,4
42,267,272,272,4
267,164,185,184,4
272,267,164,188,1
147,147,267,267,0
321,264,141,294,0
164,214,187,214,2
232,45,333,303,4
142,188,243,321,0
283,241,305,14,2
303,321,333,243,0
303,135,214,224,1
214,241,321,232,0
45,294,187,147,2
14,264,164,179,4
267,306,164,142,4
305,142,135,187,4
179,243,321,183,0
340,214,243,188,0
306,164,303,232,0
141,303,164,164,2
264,333,267,283,0
135,164,179,340,0
183,306,264,305,4
303,147,142,214,4
45,243,164,164,2
188,14,267,232,1
333,205,241,214,1
214,305,303,179,1
264,187,340,303,4
164,142,241,183,4
205,241,164,243,2
243,283,147,232,4
333,224,188,294,2
321,241,45,141,0
135,188,142,147,1
305,164,306,164,0
187,340,14,303,0
305,187,188,183,0
164,243,246,243,3
179,44,304,303,3
190,164,94,214,1
241,33,164,297,0
303,203,158,303,3
337,289,321,321,0
83,60,169,60,3
164,33,164,164,1
60,243,234,243,1
303,104,321,321,3
304,321,241,214,2
243,303,83,164,3
246,303,164,243,4
33,169,179,243,0
158,241,289,164,3
305,190,321,147,4
214,60,234,303,4
78,44,164,303,1
164,241,60,33,4
164,337,303,104,4
321,179,297,243,0
243,234,241,305,1
289,60,303,190,4
321,83,78,158,2
303,303,241,147,1
243,33,337,303,1
179,164,234,104,1
169,190,44,158,0
214,83,241,303,2
164,241,33,164,1
164,94,66,149,4
164,214,310,234,0
188,214,290,283,4
287,164,110,94,1
147,26,303,78,4
66,214,147,339,4
188,149,164,303,3
164,164,290,322,4
283,78,345,232,4
234,211,185,26,1
147,164,147,164,0
321,211,303,290,2
310,78,164,214,4
110,345,214,188,4
345,147,321,94,2
214,322,110,164,1
185,66,345,147,4
214,232,321,214,4
164,339,290,287,4
110,164,234,283,1
211,321,339,164,3
303,164,78,164,1
94,188,267,60,4
164,267,321,232,3
241,159,80,165,0
118,203,147,211,4
147,147,305,230,0
267,80,203,147,0
60,230,18,118,2
241,211,305,94,4
232,147,164,188,3
165,147,267,164,3
164,188,18,241,2
211,232,94,267,1
203,159,147,60,4
305,80,267,118,4
321,230,165,164,3
18,305,147,267,0
241,118,147,232,4
321,80,188,147,2
164,94,159,164,0
94,203,267,230,0
232,241,147,164,0
164,94,267,147,0
18,188,232,164,0
239,164,344,321,1
183,188,337,185,0
164,97,150,149,0
115,188,303,147,0
287,147,164,115,4
169,141,278,305,1
287,118,58,243,1
214,58,255,78,4
110,120,164,164,1
310,241,267,239,3
150,164,149,78,1
255,164,141,164,4
287,110,243,337,4
120,78,94,214,1
58,115,267,188,0
239,118,120,58,2
164,164,303,78,3
241,267,149,192,2
337,115,115,287,1
164,164,115,141,3
78,192,344,287,0
303,192,255,278,2
188,321,188,97,2
164,94,58,214,0
164,58,115,150,1
303,115,94,164,2
214,147,192,287,3
344,169,321,243,0
58,267,97,164,0
149,115,278,321,0
164,94,147,118,2
147,147,321,303,0
305,303,147,337,4
303,164,147,121,2
164,264,164,321,4
164,287,87,321,2
164,243,337,164,0
164,185,303,284,4
321,276,305,147,4
147,147,264,243,4
164,239,87,147,4
164,87,284,147,3
303,147,321,243,3
276,164,303,147,4
185,264,164,305,0
147,303,243,321,1
239,147,147,185,3
243,87,303,303,0
321,164,164,287,4
284,321,147,303,0
264,276,321,147,3
284,303,87,147,3
147,164,239,147,0
243,185,147,147,1
232,185,60,164,1
290,147,203,150,3
232,203,203,147,3
110,208,192,185,0
192,147,164,185,1
150,60,110,232,4
203,164,147,232,1
164,60,267,147,3
164,185,110,243,4
164,164,232,164,4
164,110,232,164,0
164,164,60,192,3
147,185,164,192,1
147,232,303,78,3
60,18,78,147,2
33,303,185,164,3
141,185,267,44,2
44,110,287,33,1
303,185,232,281,4
185,83,44,185,0
118,232,141,33,2
305,78,147,303,3
267,58,164,321,1
151,303,185,58,2
303,164,243,321,4
185,147,339,243,1
303,241,303,219,0
267,188,110,277,0
243,164,118,243,0
164,297,169,164,3
141,272,241,164,3
283,58,267,188,4
287,164,147,164,4
32,164,58,183,3
